Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Compass
299,2024-04-28 00:44:59.715158,16.328214346280795,143.0231484839249,32.9,30.0,992.8,353.1
299,2024-04-28 00:45:00.736514,16.27763282495854,143.06324403271245,32.8,30.2,992.8,353.1
300,2024-04-28 00:45:00.754071,16.276618423777506,143.0640478306516,32.8,30.2,992.8,353.1
300,2024-04-28 00:45:01.775543,16.22603213469528,143.1041163436519,32.8,29.9,992.8,353.1
301,2024-04-28 00:45:01.793014,16.225026678522372,143.1049124425402,32.8,29.9,992.8,353.1
301,2024-04-28 00:45:02.821881,16.1744378490144,143.1449522862547,32.8,30.1,992.8,353.1
302,2024-04-28 00:45:02.840650,16.173056586765927,143.1460451014533,32.5,29.9,992.8,353.1
302,2024-04-28 00:45:03.876131,16.122391760580502,143.18611425334166,32.9,30.1,992.8,353.1
303,2024-04-28 00:45:03.909767,16.120666642021433,143.1874780657364,32.4,31.4,992.8,353.1
303,2024-04-28 00:45:04.931333,16.069268652255804,143.22809545334835,32.4,30.2,992.8,353.1
304,2024-04-28 00:45:04.950585,16.068255812768868,143.22889554384253,32.4,30.2,992.8,353.1
304,2024-04-28 00:45:05.972828,16.01754349605894,143.26894043994815,32.6,30.0,992.8,353.1
305,2024-04-28 00:45:05.990694,16.01650164101669,143.2697628271434,32.6,30.0,992.8,353.1
305,2024-04-28 00:45:07.012436,15.965854057264977,143.30972634468284,32.4,29.9,992.8,353.1
306,2024-04-28 00:45:07.035489,15.964605963942551,143.31071078070522,32.4,29.9,992.8,353.2
306,2024-04-28 00:45:08.056311,15.913926899748123,143.35066887752785,32.5,29.9,992.8,353.2
307,2024-04-28 00:45:08.074958,15.912929154257563,143.35145525800797,32.5,29.9,992.8,353.2
307,2024-04-28 00:45:09.113118,15.862213061043267,143.39141252491046,32.5,30.2,992.8,353.2
308,2024-04-28 00:45:09.150797,15.86034882686938,143.39288072395308,32.8,30.3,992.8,353.2
308,2024-04-28 00:45:10.171987,15.808720104253098,143.4335257955451,32.8,30.0,992.8,353.2
309,2024-04-28 00:45:10.192724,15.807716762042915,143.4343153835298,32.8,30.0,992.8,353.2
309,2024-04-28 00:45:11.216086,15.75688751036266,143.4743009281006,32.8,30.0,992.8,353.2
310,2024-04-28 00:45:11.236378,15.75577976580944,143.47517202532111,32.8,30.0,992.8,353.2
310,2024-04-28 00:45:12.269184,15.704952675332617,143.51512603557194,32.9,30.8,992.8,353.2
311,2024-04-28 00:45:12.341569,15.703396383071052,143.51634894189968,32.9,30.8,992.8,353.2
